[Retainability,HOSR,RSRP,RSRQ,SINR,Throughput,Distance,FaultCause]
0.985,0.945,-70.403,-18.43,15.827,98.309,0.943,7
1,1,-70.426,-18.308,14.847,118.402,0.912,7
0.986,0.944,-73.597,-18.337,14.035,99.228,0.97,7
0.99,0.957,-70.685,-18.512,13.541,102.602,0.919,7
0.989,0.969,-73.581,-18.442,14.771,113.928,0.948,7
0.99,0.962,-73.514,-18.306,14.527,106.318,0.911,7
1,1,-70.325,-18.751,15.991,103.509,0.942,7
0.985,0.95,-69.624,-18.5,15.403,99.128,0.952,7
0.99,0.978,-71.364,-17.865,15.419,121.278,0.948,7
0.978,0.932,-75.703,-18.607,14.4,123.574,1.012,7
0.994,0.973,-71.107,-18.256,16.289,127.598,0.859,7
0.994,0.971,-71.338,-18.192,16.702,158.818,0.857,7
0.988,0.938,-69.958,-17.903,16.196,135.596,0.87,7
0.989,0.955,-73.638,-18.343,13.997,116.97,0.864,7
0.994,0.974,-71.172,-18.219,15.286,119.539,0.864,7
1,1,-73.063,-18.306,15.793,121.278,0.867,7
0.994,0.976,-74.079,-18.099,14.349,123.848,0.859,7
1,1,-74.288,-18.082,15.205,118.981,0.85,7
0.994,0.978,-74.102,-18.257,15.101,126.271,0.843,7
0.994,0.977,-72.091,-17.951,16.025,125.036,0.837,7
1,1,-72.489,-18.487,14.548,113.501,0.861,7
1,1,-72.973,-18.336,14.746,155.656,0.86,7
1,1,-71.411,-18.071,15.195,123.662,0.877,7
0.983,0.909,-72.027,-18.295,15.086,113.928,0.856,7
1,1,-70.86,-18.334,16.052,130.958,0.86,7
0.994,0.983,-72.309,-18.588,15.368,98.541,0.858,7
0.994,0.98,-70.942,-18.133,16.232,118.402,0.868,7
0.965,0.824,-75.245,-18.081,14.607,129.108,0.868,7
0.995,0.983,-73.478,-18.547,13.854,93.747,0.864,7
1,1,-75.038,-18.28,14.245,118.521,0.869,7
0.988,0.963,-73.318,-18.283,15.006,109.334,0.876,7
0.977,0.931,-74.192,-18.288,15.021,109.006,0.869,7
0.983,0.935,-70.437,-18.149,16.639,133.254,0.876,7
1,1,-70.934,-18.313,15.726,113.928,0.878,7
0.994,0.979,-72.734,-18.167,14.183,113.814,0.851,7
0.995,0.976,-72.086,-18.276,14.893,118.402,0.865,7
1,0.974,-73.408,-18.138,15.385,137.617,0.849,7
1,1,-70.602,-18.202,16.145,122.878,0.861,7
0.981,0.953,-70.295,-18.355,16.52,138.274,0.866,7
0.994,0.964,-68.937,-18.093,16.354,135.015,0.848,7
0.989,0.959,-73.289,-18.067,15.323,121.39,0.858,7
1,1,-72.294,-18.517,15.327,112.494,0.861,7
0.989,0.952,-72.268,-17.874,15.127,113.928,0.843,7
1,1,-74.185,-18.037,14.864,118.402,0.842,7
1,1,-70.748,-18.189,16.429,124.034,0.851,7
0.995,0.975,-72.207,-18.256,15.995,118.862,0.842,7
0.995,0.972,-71.382,-18.08,15.367,128.628,0.867,7
0.985,0.952,-72.307,-18.54,14.573,113.472,0.864,7
0.99,0.982,-72.461,-18.525,14.634,96.471,0.873,7
0.995,0.982,-71.159,-18.096,15.442,103.784,0.869,7
0.989,0.98,-72.506,-18.337,15.03,130.525,0.87,7
0.989,0.963,-76.048,-18.314,14.037,109.334,0.851,7
0.994,0.979,-66.447,-17.932,14.588,121.278,0.895,7
1,1,-67.066,-17.724,16.031,136.071,0.882,7
0.989,0.955,-73.911,-18.383,14.174,108.481,0.925,7
0.984,0.948,-68.503,-18.141,13.754,99.128,0.94,7
0.994,0.979,-67.362,-18.174,14.888,113.928,0.917,7
1,1,-67.282,-18.028,14.653,118.402,0.911,7
0.994,0.983,-65.666,-17.968,15.375,121.156,0.893,7
1,1,-69.964,-17.868,14.313,109.225,0.863,7
0.985,0.94,-67.436,-18.268,13.82,103.989,0.913,7
0.994,0.976,-69.923,-18.128,15.217,103.854,0.937,7
0.995,0.979,-70.076,-17.899,14.643,108.481,0.873,7
1,1,-74.94,-18.046,12.938,99.228,0.907,7
1,1,-70.194,-18.205,13.558,99.228,0.908,7
0.983,0.932,-66.939,-17.767,15.603,128.695,0.942,7
1,1,-69.328,-18.05,13.743,98.831,0.916,7
1,1,-65.556,-18.186,15.525,113.454,0.901,7
0.994,0.977,-69.982,-18.154,13.673,112.65,0.862,7
1,1,-71.337,-18.092,13.246,106.471,0.949,7
0.995,0.979,-71.778,-18.029,14.757,118.165,0.893,7
0.977,0.905,-70.804,-17.943,14.744,128.628,0.91,7
0.994,0.984,-68.348,-18.299,13.554,93.421,0.916,7
0.995,0.978,-68.763,-17.817,14.721,111.204,0.854,7
0.994,0.98,-68.006,-18.183,14.618,106.926,0.886,7
1,1,-69.234,-17.79,13.716,118.981,0.883,7
0.994,0.983,-66.67,-18.148,15.235,103.543,0.883,7
1,1,-71.363,-17.668,13.591,117.869,0.868,7
1,1,-71.806,-17.832,13.923,103.135,0.903,7
0.988,0.963,-68.691,-18.264,13.48,121.156,0.905,7
0.989,0.957,-71.582,-17.763,13.706,103.032,0.934,7
0.988,0.964,-70.86,-18.31,13.175,113.505,0.92,7
0.995,0.979,-68.496,-18.12,14.388,99.128,0.941,7
0.994,0.979,-67.339,-17.872,14.686,118.862,0.878,7
1,1,-69.861,-18.212,14.244,115.189,0.86,7
0.989,0.957,-70.047,-18.047,14.757,99.228,0.91,7
0.99,0.943,-68.953,-18.153,15.331,108.874,0.886,7
0.989,0.96,-67.557,-18.043,15.546,99.228,0.882,7
1,1,-70.228,-17.88,13.774,113.016,0.874,7
0.995,0.982,-67.325,-17.918,13.826,92.988,0.878,7
1,1,-69.488,-18.189,14.11,103.509,0.876,7
0.995,0.977,-74.129,-17.927,12.751,99.261,0.884,7
1,1,-68.891,-18.211,13.11,98.668,0.927,7
0.978,0.932,-68.495,-18.101,14.317,99.228,0.905,7
1,1,-73.212,-17.777,15.609,143.644,0.863,7
0.988,0.957,-74.005,-18.311,14.408,140.998,0.899,7
0.986,0.962,-73.298,-18.118,12.971,121.156,0.875,7
0.979,0.933,-72.633,-18.502,14.295,103.461,0.878,7
1,1,-72.87,-18.223,13.857,113.928,0.898,7
1,1,-71.973,-18.009,15.786,146.157,0.867,7
1,1,-72.973,-18.126,14.063,120.955,0.869,7
0.986,0.959,-75.615,-18.315,14.612,160.624,0.867,7
1,1,-71.638,-18.259,15.554,152.855,0.884,7
0.993,0.977,-71.573,-18.424,14.591,138.136,0.879,7
1,1,-71.633,-18.161,15.553,145.62,0.853,7
0.994,0.98,-73.475,-18.208,14.247,118.862,0.87,7
1,1,-75.092,-18.094,13.965,133.222,0.892,7
0.99,0.963,-72.968,-17.943,14.855,121.278,0.871,7
1,1,-72.991,-17.339,15.462,145.92,0.883,7
0.988,0.961,-76.012,-18.312,13.713,121.278,0.885,7
0.984,0.94,-74.053,-18.241,14.077,113.175,0.874,7
1,1,-75.544,-18.012,13.906,124.034,0.876,7
1,1,-74.053,-18.21,14.052,123.91,0.856,7
1,1,-74.759,-18.098,14.061,133.947,0.875,7
1,1,-72.813,-18.216,14.352,116.568,0.869,7
0.984,0.947,-73.019,-17.953,15.453,113.961,0.852,7
1,1,-73.666,-18.149,14.098,106.578,0.852,7
0.993,0.972,-71.624,-17.97,15.334,142.95,0.879,7
1,1,-75.096,-18.172,14.686,118.165,0.85,7
1,1,-73.235,-17.956,14.154,113.17,0.864,7
1,1,-74.265,-18.113,14.849,113.928,0.896,7
0.989,0.958,-73.818,-17.949,14.774,123.91,0.844,7
1,1,-73.512,-18.454,15.123,122.429,0.895,7
0.984,0.946,-74.051,-18.109,14.265,99.079,0.864,7
1,1,-74.759,-17.801,14.949,148.841,0.861,7
0.995,0.977,-72.636,-18.083,14.644,103.888,0.85,7
1,1,-72.404,-18.308,15.524,133.055,0.902,7
1,1,-71.404,-18.442,16.581,153.281,0.878,7
1,1,-73.746,-18.05,15.02,115.875,0.859,7
0.987,0.966,-73.721,-18.324,14.3,113.501,0.89,7
0.98,0.938,-73.382,-18.153,14.947,113.501,0.87,7
0.989,0.958,-72.36,-18.092,15.452,118.402,0.904,7
1,1,-72.874,-17.978,15.043,128.234,0.876,7
0.988,0.946,-69.95,-18.066,15.973,146.084,0.848,7
0.962,0.882,-72.416,-18.163,14.643,117.751,0.859,7
1,1,-72.732,-18.235,14.172,100.508,0.838,7
0.995,0.981,-70.405,-17.947,15.829,105.114,0.905,7
0.995,0.975,-69.727,-17.768,15.992,111.204,0.877,7
0.995,0.982,-70.899,-18.131,14.178,96.181,0.909,7
0.989,0.968,-70.724,-18.221,14.689,93.939,0.933,7
1,1,-72.403,-18.115,14.129,89.581,0.918,7
1,1,-71.769,-18.164,14.485,105.101,0.942,7
0.99,0.96,-71.831,-18.028,14.112,88.728,0.925,7
1,1,-70.885,-18.264,14.644,98.767,0.917,7
1,1,-72.544,-18.255,13.48,88.728,0.932,7
0.984,0.946,-71.077,-18.266,14.919,113.438,0.919,7
1,1,-70.998,-18.057,15.102,102.804,0.91,7
1,1,-72.753,-18.259,13.515,108.372,0.933,7
1,1,-69.706,-17.632,15.956,118.343,0.908,7
0.989,0.951,-70.899,-18.08,14.389,113.501,0.882,7
0.994,0.979,-71.613,-18.169,14.969,103.461,0.926,7
0.989,0.971,-69.224,-18.377,15.681,94.174,0.909,7
1,1,-69.743,-18.057,15.736,97.977,0.909,7
1,1,-70.758,-18.384,15.029,113.847,0.947,7
1,1,-72.854,-17.959,12.798,84.528,0.88,7
0.994,0.985,-72.388,-18.242,14.175,93.892,0.913,7
1,1,-71.779,-18.307,14.172,93.747,0.918,7
0.99,0.962,-70.218,-18.096,15.173,99.228,0.932,7
1,1,-70.587,-17.753,15.112,102.397,0.877,7
0.989,0.966,-71.852,-18.032,14.155,91.404,0.916,7
1,1,-72.266,-17.841,13.701,118.588,0.902,7
1,1,-70.805,-17.967,14.701,93.617,0.94,7
0.99,0.962,-70.573,-17.966,15.347,113.814,0.912,7
1,1,-73.615,-18.302,14.085,93.747,0.905,7
1,1,-71.844,-17.973,14.388,110.268,0.903,7
1,1,-71.37,-18.107,14.22,88.887,0.908,7
1,1,-75.489,-18.044,13.621,108.765,0.913,7
0.991,0.956,-69.648,-17.969,16.4,96.737,0.892,7
1,1,-69.936,-17.983,15.32,99.128,0.923,7
0.986,0.93,-72.938,-18.029,14.311,94.174,0.92,7
1,1,-71.86,-18.111,14.314,93.882,0.931,7
0.994,0.982,-70.508,-18.067,15.292,99.228,0.893,7
0.976,0.911,-70.609,-18.044,14.499,83.961,0.928,7
0.989,0.955,-69.614,-18.064,16.232,118.621,0.913,7
1,1,-70.658,-17.819,15.795,107.419,0.897,7
0.995,0.981,-70.815,-17.824,15.508,95.49,0.9,7
0.995,0.983,-69.72,-17.87,15.072,93.654,0.885,7
0.974,0.904,-71.443,-18.199,14.902,96.181,0.909,7
0.995,0.972,-72.202,-17.812,14.677,99.228,0.852,7
0.988,0.956,-72.711,-18.09,14.57,99.128,0.885,7
1,1,-71.404,-18.107,14.065,94.08,0.866,7
1,0.982,-72.982,-18.197,14.617,118.981,0.893,7
0.994,0.973,-72.988,-17.996,13.711,105.231,0.854,7
0.988,0.949,-75.778,-18.15,13.826,108.765,0.888,7
1,1,-69.941,-18.008,15.363,118.624,0.902,7
1,1,-70.846,-18.138,15.899,117.692,0.862,7
1,1,-74.521,-18.202,14.141,91.077,0.868,7
0.994,0.979,-76.167,-18.247,14.598,100.508,0.877,7
0.994,0.978,-71.62,-18.249,16.189,102.577,0.884,7
0.988,0.965,-72.271,-18.11,14.981,108.765,0.867,7
0.987,0.96,-71.276,-18.247,14.536,104.679,0.887,7
1,1,-71.098,-18.24,14.915,123.488,0.879,7
0.978,0.913,-72.74,-18.197,15.344,113.928,0.868,7
0.994,0.961,-73.855,-18.012,13.768,109.334,0.865,7
0.984,0.932,-73.128,-18.042,15.163,124.034,0.885,7
1,1,-70.657,-18.26,15.391,113.928,0.9,7
0.994,0.977,-72.413,-18.087,14.952,108.874,0.887,7
0.986,0.948,-71.395,-18.274,14.493,89.121,0.897,7
1,1,-71.696,-17.778,15.391,123.662,0.862,7
0.994,0.974,-73.414,-17.917,14.865,118.521,0.872,7
1,1,-71.966,-18.116,14.538,108.765,0.885,7
0.994,0.973,-72.631,-18.11,14.35,112.679,0.869,7
1,0.976,-72.004,-17.96,14.846,103.854,0.865,7
1,1,-72.849,-18.057,15.036,113.016,0.835,7
0.994,0.98,-73.434,-18.225,15.365,113.961,0.877,7
0.983,0.92,-73.822,-18.005,13.543,106.151,0.867,7
0.988,0.953,-75.586,-18.03,13.182,116.224,0.863,7
0.994,0.98,-75.918,-18.058,15.075,99.228,0.873,7
0.983,0.923,-75.241,-18.29,14.998,119.737,0.865,7
0.99,0.962,-72.161,-18.245,15.506,98.668,0.871,7
1,1,-73.029,-17.919,14.393,96.471,0.869,7
0.981,0.905,-70.782,-17.998,16.376,112.911,0.868,7
0.973,0.911,-72.259,-18.162,15.879,108.615,0.884,7
0.995,0.964,-73.223,-17.998,14.429,99.228,0.872,7
0.995,1,-74.62,-18.201,14.374,102.826,0.865,7
0.986,0.94,-74.847,-18.262,14.454,109.334,0.867,7
0.977,0.943,-70.099,-18.043,15.55,123.215,0.875,7
0.995,0.981,-71.948,-18.121,14.41,109.334,0.872,7
0.994,0.983,-71.101,-18.403,15.275,99.228,0.875,7
0.976,0.907,-71.46,-18.133,14.676,96.471,0.872,7
1,1,-72.259,-18.028,14.995,116.224,0.913,7
1,1,-73.727,-18.254,14.55,105.101,0.909,7
0.995,0.975,-72.528,-17.921,14.661,97.249,0.882,7
0.994,0.978,-71.312,-18.113,15.406,112.835,0.863,7
1,1,-70.84,-17.828,15.784,124.034,0.834,7
1,1,-75.651,-17.909,14.255,126.149,0.889,7
1,1,-74.695,-18.24,15.416,109.795,0.892,7
0.995,0.983,-70.255,-18.398,15.152,103.784,0.916,7
0.99,0.949,-72.891,-17.79,15.483,118.165,0.9,7
0.995,0.977,-72.707,-18.192,14.833,96.61,0.898,7
0.989,0.962,-71.845,-17.986,14.756,108.765,0.876,7
0.983,0.938,-73.957,-18.249,15.274,121.278,0.916,7
0.995,0.979,-73.204,-18.177,14.761,116.108,0.885,7
1,1,-73.516,-18.332,15.06,103.135,0.901,7
0.985,0.938,-71.269,-17.935,16.035,99.228,0.895,7
0.989,0.96,-74.611,-18.198,13.011,98.767,0.919,7
1,1,-72.647,-17.864,15.084,103.854,0.889,7
0.99,0.963,-74.918,-18.126,14.551,98.93,0.949,7
0.979,0.92,-71.652,-18.086,15.246,108.799,0.906,7
0.99,0.963,-73.279,-18.214,13.857,93.747,0.872,7
1,1,-74.257,-18.077,14.487,102.804,0.909,7
0.986,0.932,-72.584,-18.285,14.261,98.668,0.91,7
0.981,0.923,-70.566,-17.963,15.331,99.128,0.89,7
0.995,0.971,-71.033,-17.905,15.584,118.699,0.904,7
1,1,-74.9,-18.095,14.155,105.101,0.895,7
0.988,0.963,-70.177,-18.152,14.956,113.586,0.905,7
1,1,-71.513,-18.309,14.95,116.142,0.911,7
0.995,0.979,-71.811,-18.338,14.918,99.228,0.898,7
1,1,-73.014,-18.246,15.218,103.671,0.928,7
0.991,0.941,-72.329,-18.176,15.525,113.586,0.898,7
1,1,-72.654,-18.081,15.331,117.869,0.898,7
0.994,0.981,-72.324,-18.242,14.823,103.461,0.911,7
0.989,0.955,-71.603,-17.964,15.201,123.662,0.896,7
0.966,0.897,-74.849,-18.316,13.01,82.183,0.907,7
0.99,0.95,-71.282,-18.1,15.55,123.91,0.912,7
0.982,0.943,-75.798,-18.107,13.149,116.224,0.898,7
0.995,0.98,-71.891,-18.058,15.21,113.009,0.906,7
0.988,0.962,-74.062,-18.084,14.032,103.576,0.886,7
0.985,0.935,-74.603,-18.051,13.791,108.874,0.918,7
0.995,0.983,-72.999,-18.245,14.402,109.057,0.917,7
0.995,0.975,-71.183,-18.051,14.933,113.961,0.897,7
0.995,0.984,-72.393,-18.358,14.729,94.174,0.905,7
0.995,0.981,-76.586,-18.758,12.623,103.135,0.896,7
1,1,-75.043,-18.017,12.983,99.228,0.947,7
0.994,0.982,-72.392,-18.053,14.899,125.32,0.886,7
0.983,0.959,-71.809,-18.843,14.056,98.93,0.896,7
0.994,0.98,-71.708,-18.141,15.169,133.547,0.921,7
0.995,0.978,-72.713,-18.165,14.716,130.163,0.955,7
0.994,0.984,-72.049,-18.243,14.619,118.402,0.875,7
0.995,0.983,-73.688,-18.337,13.343,103.854,0.95,7
0.994,0.984,-70.085,-18.59,15.051,108.765,0.901,7
1,1,-69.582,-17.96,15.398,122.38,0.951,7
0.99,0.968,-69.259,-18.318,15.205,98.767,0.91,7
0.99,0.97,-72.251,-18.378,14.255,111.204,0.949,7
1,1,-70.835,-17.975,14.413,113.961,0.901,7
0.982,0.951,-73.636,-18.27,13.778,100.968,0.917,7
0.994,0.979,-71.44,-18.21,14.879,128.242,0.911,7
0.994,0.977,-69.52,-17.952,15.392,121.121,0.85,7
1,1,-71.519,-18.178,14.526,108.481,0.915,7
0.984,0.957,-71.652,-18.223,15.693,96.374,0.926,7
0.983,0.951,-71.432,-18.071,13.879,98.93,0.879,7
0.985,0.947,-71.886,-18.049,15.222,128.499,0.912,7
1,1,-71.527,-18.459,14.075,118.862,0.94,7
0.995,0.983,-69.545,-18.06,15.752,128.628,0.898,7
0.988,0.966,-71.955,-18.203,13.307,108.765,0.913,7
1,1,-70.296,-18.049,15.665,118.402,0.843,7
0.989,0.96,-69.672,-17.831,14.73,121.278,0.894,7
0.984,0.955,-71.956,-18.4,14.54,102.826,0.898,7
1,1,-68.973,-18.41,15.666,113.501,0.851,7
0.978,0.93,-69.706,-18.135,15.737,127.967,0.88,7
1,1,-71.111,-18.088,14.571,113.501,0.936,7
0.994,1,-70.537,-18.288,14.156,109.334,0.847,7
1,1,-70.537,-18.316,12.505,98.93,0.917,7
0.982,0.949,-70.268,-18.193,15.402,124.034,0.902,7
0.988,0.967,-70.868,-18.149,14.756,123.691,0.928,7
0.971,0.925,-74.391,-18.176,13.414,108.908,0.899,7
0.987,0.971,-70.494,-18.38,14.505,113.928,0.941,7
1,1,-74.306,-18.521,13.498,118.521,0.924,7
0.994,0.985,-73.222,-18.789,14.14,99.128,0.895,7
0.98,0.947,-68.561,-18.355,16.558,99.128,0.913,7
0.988,0.986,-69.287,-18.414,15.111,116.2,0.94,7
0.989,0.97,-71.983,-18.501,14.891,113.847,0.942,7
0.988,0.981,-72.686,-18.354,14.109,124.034,0.904,7
0.994,0.981,-69.629,-18.215,15.267,113.847,0.884,7
1,1,-73.026,-18.174,14.703,118.343,0.947,7
1,1,-70.311,-18.284,15.972,113.981,0.877,7
0.994,0.982,-73.955,-18.158,13.62,99.128,0.9,7
0.994,0.98,-72.832,-18.28,14.944,116.108,0.928,7
1,1,-67.96,-18.088,15.911,121.156,0.914,7
1,1,-68.084,-18.464,15.75,113.814,0.923,7
0.99,0.957,-67.721,-18.013,16.479,120.914,0.892,7
0.995,1,-66.886,-18.278,14.897,99.128,0.903,7
0.995,0.979,-70.416,-17.948,15.282,99.228,0.93,7
0.995,0.979,-74.004,-18.276,14.789,119.294,0.911,7
0.989,0.968,-71.901,-18.025,14.463,98.831,0.928,7
0.993,1,-77.577,-18.166,14,114.72,0.963,7
0.985,0.938,-71.157,-18.057,15.2,118.171,0.906,7
0.989,0.958,-71.196,-18.346,15.443,108.515,0.934,7
1,1,-72.137,-18.464,14.243,116.743,0.899,7
0.985,0.939,-71.42,-17.815,15.643,106.471,0.936,7
0.99,0.961,-69.043,-18.309,15.827,108.799,0.896,7
0.995,0.963,-69.904,-17.709,17.015,132.078,0.822,7
0.991,0.967,-70.98,-18.262,14.293,83.983,0.935,7
0.995,0.982,-73.016,-18.269,14.942,94.011,0.947,7
0.995,0.982,-69.549,-18.136,14.609,98.471,0.937,7
0.984,0.953,-73.069,-17.815,13.644,96.471,0.933,7
1,1,-68.972,-17.793,16.245,121.156,0.896,7
0.994,1,-69.933,-18.301,16.627,128.628,0.942,7
1,1,-72.53,-18.539,14.72,111.502,0.934,7
0.988,0.96,-73.481,-18.421,13.678,98.834,0.893,7
1,1,-71.327,-18.207,14.716,123.91,0.914,7
0.985,0.952,-71.014,-18.365,14.628,97.106,0.918,7
0.962,0.857,-69.539,-18.103,14.802,98.93,0.895,7
0.989,0.951,-72.981,-18.029,14.481,98.93,0.886,7
0.995,0.98,-70.762,-18.31,15.689,103.461,0.908,7
1,1,-72.216,-18.239,14.929,122.654,0.86,7
0.995,0.976,-71.666,-18.242,14.999,113.928,0.935,7
0.99,0.957,-67.922,-18.216,15.545,102.804,0.897,7
0.989,0.958,-75.147,-18.168,14.046,93.712,0.935,7
0.978,0.934,-67.986,-18.213,14.574,113.501,0.965,7
0.994,0.978,-72.959,-18.221,15.885,118.402,0.924,7
0.995,0.984,-73.63,-18.15,14.399,99.128,0.906,7
1,1,-74.868,-18.472,13.535,94.033,0.933,7
0.985,0.948,-72.074,-18.164,14.871,98.771,0.893,7
0.99,0.962,-77.829,-17.953,14.967,99.228,0.91,7
0.995,0.986,-73.352,-18.507,14.611,89.032,0.926,7
1,1,-74.741,-18.127,15.16,120.792,0.868,7
0.995,0.974,-73.623,-17.791,14.686,121.156,0.855,7
1,1,-73.211,-18.137,16.174,118.981,0.878,7
1,1,-74.864,-18.152,14.684,113.016,0.859,7
0.993,0.971,-73.883,-18.389,14.862,138.291,0.856,7
1,1,-76.577,-18.317,14.322,124.034,0.878,7
0.99,0.96,-72.293,-18.392,15.714,94.174,0.853,7
1,1,-72.684,-18.115,15.197,118.047,0.894,7
0.994,0.974,-75.103,-17.922,13.586,116.224,0.88,7
0.977,0.956,-75.804,-17.907,14.222,123.91,0.88,7
1,1,-72.941,-17.949,15.14,114.096,0.848,7
0.989,0.959,-73.911,-18.285,15.961,113.928,0.885,7
1,1,-72.372,-17.964,14.818,96.374,0.863,7
0.995,0.98,-76.039,-17.688,15.014,105.101,0.886,7
1,1,-73.908,-18.371,15.577,146.084,0.903,7
0.989,0.967,-73.984,-18.161,14.894,115.875,0.881,7
0.994,0.98,-75.25,-18.168,13.986,108.481,0.891,7
1,1,-76.297,-18.386,14.416,111.204,0.889,7
0.99,0.955,-72.532,-18.059,15.569,128.175,0.86,7
0.99,0.961,-74.761,-17.923,14.549,99.228,0.872,7
1,1,-74.657,-18.3,14.388,103.854,0.929,7
0.995,0.978,-73.467,-17.953,14.313,88.987,0.887,7
1,1,-74.105,-18.256,15.323,98.969,0.879,7
0.994,1,-75.533,-18.338,15.273,118.165,0.876,7
0.995,0.98,-73.253,-17.986,14.977,116.224,0.887,7
1,1,-76.536,-17.956,14.52,128.234,0.875,7
0.983,0.94,-75.592,-17.913,14.053,113.501,0.899,7
1,1,-74.735,-18.177,14.452,104.346,0.902,7
0.988,0.966,-74.082,-18.385,14.181,123.518,0.904,7
1,1,-74.432,-18.291,13.562,133.739,0.904,7
1,1,-75.363,-18.215,13.745,94.174,0.873,7
0.995,0.974,-73.869,-18.187,15.292,109.334,0.853,7
1,1,-74.819,-18.223,14.56,108.481,0.891,7
0.983,0.943,-73.295,-18.225,15.173,117.471,0.93,7
0.99,0.977,-75.967,-18.129,14.885,121.278,0.875,7
0.984,0.941,-74.15,-17.826,15.235,101.326,0.887,7
0.995,0.981,-75.184,-18.396,14.724,99.128,0.881,7
0.984,0.947,-74.151,-18.054,15.349,117.751,0.888,7
0.985,0.952,-75.497,-18.496,14.785,99.228,0.885,7
0.98,0.925,-75.928,-18.307,14.249,118.521,0.893,7
0.989,0.955,-73.65,-18.436,14.694,107.684,0.879,7
0.994,0.978,-75.023,-17.974,13.86,108.507,0.867,7
0.989,0.949,-71.085,-17.965,14.038,111.619,0.87,7
1,1,-71.155,-17.944,14.961,108.908,0.868,7
0.994,0.978,-69.372,-17.922,15.359,113.961,0.87,7
1,1,-70.454,-17.733,16.081,123.91,0.902,7
1,1,-72.166,-18.044,15.169,143.218,0.921,7
0.994,0.974,-72.913,-18.107,15.315,122.625,0.867,7
0.984,0.951,-74.058,-17.892,14.266,99.079,0.934,7
0.995,0.98,-70.195,-18.435,14.105,98.767,0.89,7
0.99,0.952,-71.846,-18.116,13.498,98.767,0.908,7
0.986,0.952,-68.844,-17.757,15.489,115.875,0.895,7
1,1,-71.555,-18.156,14.447,98.767,0.963,7
0.984,0.927,-71.557,-17.968,14.307,98.93,0.908,7
1,1,-69.422,-18.271,15.383,121.278,0.891,7
0.983,0.932,-68.477,-18.047,14.754,117.939,0.891,7
0.994,0.972,-67.025,-17.866,16.032,143.285,0.88,7
1,1,-72.958,-17.778,14.701,116.046,0.879,7
0.994,0.971,-72.834,-18.065,15.297,118.521,0.876,7
0.994,0.98,-77.666,-18.485,12.52,96.5,0.896,7
1,1,-68.409,-18.066,16.323,118.981,0.9,7
1,1,-68.478,-17.765,15.315,118.402,0.873,7
1,1,-73.838,-18.1,13.318,98.767,0.878,7
0.985,0.957,-76.017,-18.2,12.891,98.862,0.908,7
0.994,0.978,-72.867,-18.043,13.622,113.472,0.908,7
0.988,0.957,-72.015,-17.781,14.991,121.807,0.885,7
1,1,-68.356,-18.045,15.826,123.569,0.917,7
1,1,-68.436,-18.123,14.714,123.662,0.898,7
0.994,0.974,-72.118,-18.141,14.35,134.59,0.912,7
0.995,0.974,-67.518,-17.503,15.747,121.278,0.873,7
1,1,-69.589,-18.37,14.561,99.228,0.896,7
1,1,-72.409,-18.207,14.339,108.765,0.92,7
0.983,0.952,-72.857,-18.114,13.358,99.128,0.921,7
0.994,0.972,-69.858,-18.086,14.791,117.84,0.911,7
1,1,-72.06,-18.026,14.055,93.415,0.935,7
0.994,0.978,-68.299,-18.332,16.099,121.278,0.88,7
0.989,0.951,-70.951,-17.915,14.974,113.928,0.889,7
0.984,0.938,-71.658,-17.845,14.466,113.814,0.887,7
0.983,0.929,-71.168,-18.122,15.249,103.136,0.891,7
0.995,0.977,-72.782,-17.991,14.465,98.767,0.906,7
0.99,0.953,-73.764,-18.199,14.483,117.572,0.956,7
0.989,0.955,-71.961,-18.363,14.803,116.224,0.886,7
0.995,0.978,-72.772,-17.962,15.105,103.717,0.838,7
0.995,0.974,-72.805,-17.932,14.93,104.683,0.897,7
0.98,0.925,-67.445,-17.551,14.799,128.923,0.854,7
0.994,0.977,-71.45,-17.856,14.266,118.862,0.881,7
0.982,0.921,-67.461,-17.814,14.969,123.91,0.868,7
0.994,0.972,-67.468,-17.684,15.581,128.499,0.829,7
1,1,-69.138,-17.778,15.36,118.521,0.83,7
0.994,0.97,-70.981,-17.855,15.033,138.136,0.85,7
0.983,0.953,-68.166,-17.498,15.561,130.334,0.863,7
1,1,-71.262,-17.963,14.033,103.165,0.851,7
1,1,-68.161,-17.424,16.061,128.628,0.871,7
1,1,-69.767,-17.795,14.71,109.225,0.886,7
0.994,0.967,-68.968,-17.611,14.469,124.404,0.839,7
0.994,0.978,-68.608,-17.943,14.908,99.228,0.867,7
0.994,0.976,-68.538,-17.971,14.545,118.165,0.863,7
0.987,0.952,-70.556,-17.76,14.299,121.764,0.823,7
0.983,0.925,-67.045,-17.806,15.37,121.278,0.83,7
0.994,0.979,-71.008,-17.918,14.635,118.521,0.88,7
0.994,0.98,-71.553,-17.829,14.806,118.521,0.885,7
1,1,-66.91,-17.568,15.884,124.034,0.856,7
0.989,0.951,-67.696,-17.684,16.081,125.01,0.859,7
0.994,0.972,-70.227,-17.633,13.77,133.055,0.876,7
0.994,0.98,-69.46,-17.899,14.244,103.854,0.873,7
0.978,0.918,-67.608,-18.188,16.058,134.175,0.843,7
0.989,0.947,-70.861,-17.84,15.317,124.034,0.851,7
0.988,0.958,-68.903,-18.275,14.13,123.91,0.86,7
1,1,-70.828,-17.572,14.601,128.499,0.849,7
